,_id,tweet_id,text,task_1
0,60c5d7495659ea5e55df0b7b,hi_hasoc_2021_998,DYINGLIARS I WARNED 2 YRS BACKBANNED BY SARDAR PATEL IGNORED,NOT
1,60c5d7495659ea5e55df1b73,hi_hasoc_2021_4049,सब लोग इतने पैसे डोनेट ही कर रहे हैं फिर भी आम आदमी को सिलेंडर और कन्सेंट्रेटर ख़ुद से ही ख़रीदना पड़ रहा है  तो पैसे कहाँ जा रहे हैं बीयर्ड ऑयल में  ,NOT
2,60c5d7495659ea5e55df0d1b,hi_hasoc_2021_1757,शेर-ए- सिवान शहाबुद्दीन साहब से रिश्ता क्याلا إله إلا الله محمد رسول الله,NOT
3,60c5d7495659ea5e55df0e45,hi_hasoc_2021_5178, आसमानी किताब के नाजायज औलाद है,HOF
4,60c5d7495659ea5e55df0ee1,hi_hasoc_2021_1825, इसे कहते हैं दोगला पंती जिस सपा की दम पर 0 से 10 का सफर किया और माया अपनी इज्ज़त बचा पाई आज उसी सपा को मिटाने की बात कर रही हैं,NOT
5,60c5d7495659ea5e55df13af,hi_hasoc_2021_5410, बिहार की आम जनता को बहुत ही नाराजगी है केंद्र सरकार की सिस्टम से और लालू परिवार सेयह दिन काले अक्षरों में लिखा जाएगा और आने वाला पीढ़ी इसे याद रखेगाजो एक संसद को अपमानित किया गया अपनी मिट्टी नहीं मिलने दिया आज हमारी बारी है तो कल तुम्हारी बारी होगी ,HOF
6,60c5d7495659ea5e55df1b22,hi_hasoc_2021_5852,यही तेरी असलियत है कि चोरी रोज करेगा खेत मे लेकिन कभी भी उसे स्वीकार नहीं करेगा गजेटियर भी तुझे दे दिया तब भी तू कुत्ता का कुत्ता ही रहा अब भाग कुत्ते की औलाद जा कहीं भैंस गन्ने की चोरी कर ले सुबह घर कैसे चलेगा तेरा ,HOF
7,60c5d7495659ea5e55df1c1c,hi_hasoc_2021_5765,भोजपुरी का 2 टके का सिंगर किसी के लड़की का नाम लेकर फूहड़ गाना बना सकते है कभी सोचा है कि वो लड़की जब घर से बाहर निकलती है मोहल्ले में पान दुकान पे  DJ में उसका नाम लेकर फूहड़ गाना बज रहा होता है तो कैसा महसूस करती होगी घर आके क्या सोचती होगी DOP Shiva Chaudhary,HOF
8,60c5d7495659ea5e55df1ad1,hi_hasoc_2021_3664, चुनाव नतीजों के बाद बंगाल में जारी हिंसा अप्रत्याशित बीजेपी कार्यकर्ताओं के ख़िलाफ़ जारी हिंसा राज्य प्रायोजित दोषियों के ख़िलाफ़ कड़ी कार्रवाई की जाए प्रकाश जावडेकर,NOT
9,60c5d7495659ea5e55df1701,hi_hasoc_2021_3331, मूर्ख लड़की,HOF
10,60c5d7495659ea5e55df18f6,hi_hasoc_2021_4023,जो शहाबुद्दीन के साथ हैं वो इस ट्वीट को रीट्वीट करें और इस हैसटैग पर ट्वीट करें ,NOT
11,60c5d7495659ea5e55df0bf0,hi_hasoc_2021_1212,यदि बाबरी ढ़ांचा गिरने पर तत्कालीन भाजपा द्वासित 4 राज्य सरकारों को बर्खास्त कर उन राज्यों में राष्ट्रपति शासन लगाया जा सकता है तो आज बिहार में लोकतंत्र के ढ़ांचे को तहस-नहस कर के जिस प्रकार से नरसंहार चल रहा है वहां की राज्य सरकार को तुरंत बर्खास्त करना चाहिए ,NOT
12,60c5d7495659ea5e55df0d5f,hi_hasoc_2021_4875,What a shameless guy !! दोगला !! ,HOF
13,60c5d7495659ea5e55df0e67,hi_hasoc_2021_5116,वर्तमान स्थिति में मुझे लगता है कि हमारे राष्ट्रपति जी और हमारे प्रधानमंत्री जी धृतराष्ट्र की तरह हैं|,HOF
14,60c5d7495659ea5e55df1bbe,hi_hasoc_2021_6031, अमेरिका में तुम जैसे लोग दोगला राजनीति नहीं करते है इसलिए वहां मास्क नहीं लगाना पड़ रहा है,HOF
15,60c5d7495659ea5e55df1058,hi_hasoc_2021_1794,कोई यहाँ भी नज़र डाले 😢,NOT
16,60c5d7495659ea5e55df0bca,hi_hasoc_2021_4609, सवाल यह नही कि वो मुझे वेश्या कहता है सवाल तो यह है कि मुझे वेश्या बनाया किसने  -नवनीत,HOF
17,60c5d7495659ea5e55df0c87,hi_hasoc_2021_4599,जानवर भी हमें बहुत कुछ सिखाती है  किस तरह पानी को बचाना चाहिए ये हम सभी को इस हाथी से सीखने की जरूरतखूबसूरत दृश्य,NOT
18,60c5d7495659ea5e55df069b,hi_hasoc_2021_4260,तिहाड़ जेल के स्पेशल सेल में कोरोना पहुंचा कैसे मुझे लगता हे ये सिस्टम का कोरोना है,NOT
19,60c5d7495659ea5e55df150e,hi_hasoc_2021_2915,इसी टाइम पे वन नेशन वन इलेक्शन होना चाहिए था !,NOT
